symbol,comp.,code
SSPF1,Tosse 1 ETF,0&i=39453972158399542
KMND1,Kamand ETF,0&i=34718633636164421
FPAF1,Parand ETF,0&i=70595828753641750
INFO1,Inf Services,0&i=40505767672724777
FTIR1,Iran. Parenteral,0&i=18303237082155264
